X,Y,OBJECTID,IDENTIFICA,TIPO,icon_url
-68.3771214407596,-33.624265774343,"393",SET-VI-205,De Pozo,./0.png
-68.4040462339463,-33.6006711139654,"394",SET-VI-251,De Pozo,./0.png
-68.4089854805284,-33.5607249723875,"395",SET-VI-271,De Pozo,./0.png
-68.4024054822179,-33.5639362684092,"401",SET-VI-114,De Pozo,./0.png
-68.8062516499087,-33.0661234782835,"402",SET-ECP-N36,De Distribucion,./0.png
-68.7630310240559,-33.1610719860941,"403",SET-B-56,De Distribucion,./0.png
-68.9074950879848,-33.279634304082,"404",SET-UG-7,De Bateria,./0.png
-68.3990122372065,-33.5613818225504,"407",SET-VI-230,De Pozo,./0.png
-68.7571619818979,-33.2058318585109,"409",SET-B-N22,De Distribucion,./0.png
-68.377620948335,-33.6146329972812,"410",SET-VI-190,De Pozo,./0.png
-68.3860801562678,-33.5747076180106,"411",SET-Vi-1064,De Pozo,./0.png
-68.4023556039814,-33.5795963059974,"412",SET-VI-1007,De Pozo,./0.png
-68.785422056344,-33.1125474776719,"413",SET-B-69,De Distribucion,./0.png
-68.7723856305863,-33.1498695481118,"416",SET-B-501,De Distribucion,./0.png
-68.3976162119143,-33.6052113669953,"421",SET-VI-PUESTO,De Pozo,./0.png
-68.3888387919009,-33.6166912711644,"422",SET-LJ-14,De Pozo,./0.png
-68.4047428419851,-33.5650082487646,"425",SET-VI-261,De Pozo,./0.png
-68.3995336745515,-33.6107469643328,"426",SET-VI-185,De Pozo,./0.png
-68.3887101446079,-33.5986325025236,"427",Trafo Pozo YPF.Md.Vi1067,De Pozo,./0.png
-68.3915146870277,-33.5870455428808,"429",SET-VI-151,De Pozo,./0.png
-68.79781351998,-33.1616111706428,"430",SET-B-43,De Distribucion,./0.png
-68.457771860948,-33.5482533256726,"431",SET-VI-1073,De Pozo,./0.png
-68.402131815918,-33.560625958026,"432",SET-VI-273,De Pozo,./0.png
-68.3917188890235,-33.6131124987179,"435",SET-VI-231,De Pozo,./0.png
-68.7798607605814,-33.1945719440373,"440",SET-B-,De Distribucion,./0.png
-68.763120363413,-33.1584963841995,"442",SET-B-104,De Distribucion,./0.png
-68.380884160813,-33.6099552892009,"444",SET-VI-188,De Pozo,./0.png
-68.4172820178515,-33.5614990155492,"445",SET-VI-1008,De Pozo,./0.png
-68.4866737652865,-33.5346746627007,"446",SET-Vi.a-1088,De Pozo,./0.png
-68.7686656708453,-33.2035917272684,"447",SET-B-511,De Distribucion,./0.png
-68.4046437080538,-33.5776874039501,"448",SET-VI-135,De Pozo,./0.png
-68.7744512948747,-33.2047147302381,"449",SET-B-,De Distribucion,./0.png
-68.9597105509201,-33.3152064151735,"452",SET-UG-23,De Distribucion,./0.png
-68.7871401720151,-33.1767399298527,"453",SET-B-50B,De Distribucion,./0.png
-68.7637587769508,-33.21256530721,"454",SET-B-518,De Distribucion,./0.png
-68.478408191146,-33.5473167964237,"455",SET-Vi-1121,De Pozo,./0.png
-68.7974952721927,-33.0749301216483,"456",SET-ECP-N33,De Distribucion,./0.png
-68.8159144880122,-33.0690017574594,"457",SET-ECP-38,De Distribucion,./0.png
-68.4116286686597,-33.5595241534299,"459",SET-VI-14,De Pozo,./0.png
-68.8139470747608,-33.0472408548091,"463",SET-ECP-PS728,De Distribucion,./0.png
-68.7691219900305,-33.1996349551153,"464",SET-B-48B,De Distribucion,./0.png
-68.3966175553078,-33.5575108289886,"465",SET-VI-1004,De Pozo,./0.png
-68.4186284668268,-33.5504854362807,"466",SET-VI-1005,De Bateria,./0.png
-68.4019865891615,-33.5547533980945,"467",SET-VI-1006,De Pozo,./0.png
-68.4310930851018,-33.5597494166336,"469",SET-VI-110,De Pozo,./0.png
-68.4320804273179,-33.5506015501616,"470",SET-VI-5,De Pozo,./0.png
-68.3993899586364,-33.5646439765808,"472",SET-VI-1005,De Pozo,./0.png
-68.4650500055729,-33.5572308561729,"474",SET-Vi-1083,De Pozo,./0.png
-68.4189428845043,-33.5548051669974,"475",SET-VI-ANTENA,De Pozo,./0.png
-68.843349389383,-33.2719887175406,"476",SET-UG-1,De Distribucion,./0.png
-68.3967010574155,-33.5475176372912,"477",SET-Vi-IP5,De Pozo,./0.png
-68.4038992757171,-33.5912598737056,"480",SET-VI-1024,De Pozo,./0.png
-68.3818898152203,-33.5875359134387,"481",SET-VI-,De Pozo,./0.png
-68.50063871889,-33.4951314803997,"482",SET-PIA-5,De Bateria,./0.png
-68.7807734712813,-33.1725688864455,"483",SET-B-12,De Distribucion,./0.png
-68.406540167125,-33.5795937594664,"484",SET-VI-248,De Pozo,./0.png
-68.3985709624854,-33.5800701377642,"485",SET-VI-246,De Pozo,./0.png
-68.7791341729431,-33.1497304272414,"486",SET-B-551,De Distribucion,./0.png
-68.3935364832121,-33.5497180790358,"487",SET-VI-8,De Pozo,./0.png
-68.418854041828,-33.5526543674262,"488",SET-VI-224,De Pozo,./0.png
-68.395001153697,-33.5635009947695,"489",SET-VI-221,De Pozo,./0.png
-68.4005963459344,-33.6015412830462,"490",SET-VI-172,De Pozo,./0.png
-68.3381538114373,-33.5956117872543,"492",SET-VI-216,De Pozo,./0.png
-68.7590753323352,-33.1865493817757,"495",SET-B-54,De Distribucion,./0.png
-68.770631437468,-33.2094593952138,"496",SET-B-,De Distribucion,./0.png
-68.7670857301028,-33.219884779167,"498",SET-B-,De Distribucion,./0.png
-68.3899178784518,-33.5691568271419,"503",SET-Vi-1045,De Pozo,./0.png
-68.7733427642673,-33.1332978173659,"504",SET-B-,De Distribucion,./0.png
-68.3947590526191,-33.5565272816902,"505",SET-VI-274,De Pozo,./0.png
-68.8102510706033,-33.0663438981474,"506",SET-ECP-N41,De Distribucion,./0.png
-68.4047745868313,-33.5658406604709,"507",SET-VI-,De Distribucion,./0.png
-68.7837320525326,-33.1222729349631,"510",SET-B-74,De Distribucion,./0.png
-68.4514661517711,-33.5322941318788,"511",SET-VI-,De Pozo,./0.png
-68.4783085383707,-33.5327997704817,"512",SET-Vi-1086,De Pozo,./0.png
-68.8075719351409,-33.1759464058866,"513",SET-B-514,De Distribucion,./0.png
-68.4758679367713,-33.5515090265367,"515",SET-Via-1100,De Pozo,./0.png
-68.7677317166645,-33.1905555879798,"517",SET-B-,De Distribucion,./0.png
-68.7973993261085,-33.0700564886925,"519",SET-ECP-N29,De Distribucion,./0.png
-68.7851959929901,-33.1798389996823,"522",SET-B-423,De Distribucion,./0.png
-68.4279463128874,-33.5553908555188,"523",SET-VI-87,De Pozo,./0.png
-68.8050762644173,-33.0695537672419,"524",SET-ECP-96,De Distribucion,./0.png
-68.4100355992329,-33.5467473540602,"526",SET-VI-265,De Pozo,./0.png
-68.409408612798,-33.5456540892843,"527",SET-VI-52,De Pozo,./0.png
-68.404012371914,-33.5947711263756,"530",SET-VI-236,De Pozo,./0.png
-68.7753842766097,-33.1385808668733,"533",SET-B-139,De Distribucion,./0.png
-68.380083611606,-33.5585398803087,"535",SET-VI-43,De Pozo,./0.png
-68.4245246378692,-33.5528827186445,"537",SET-VI-223,De Pozo,./0.png
-68.7726817580211,-33.1797540510534,"540",SET-B-13,De Distribucion,./0.png
-68.8000501898491,-33.0782783943039,"541",SET-ECP-47,De Distribucion,./0.png
-68.4110056254023,-33.57793876629,"542",SET-VI-23,De Pozo,./0.png
-68.7935402775515,-33.1361286044517,"545",SET-BN-73,De Distribucion,./0.png
-68.3946612389594,-33.5826182593664,"546",SET-VI-41,De Pozo,./0.png
-68.4692985474999,-33.5425162870551,"547",SET-VI-1057,De Pozo,./0.png
-68.7714256380831,-33.1477210455516,"548",SET-B-27,De Distribucion,./0.png
-68.7992810563906,-33.1573938120398,"550",SET-B-,De Distribucion,./0.png
-68.8492971351987,-33.2740565171949,"551",SET-UG-14,De Distribucion,./0.png
-68.804978286044,-33.0705019994742,"552",SET-ECP-7,De Distribucion,./0.png
-68.8045596530305,-33.0766712836391,"553",SET-ECP-N38,De Distribucion,./0.png
-68.7860210546534,-33.1696952399333,"554",SET-B-555,De Pozo,./0.png
-68.7668273742044,-33.19153560619,"555",SET-B-N25,De Distribucion,./0.png
-68.4092267897961,-33.554885350137,"556",SET-VI-100,De Pozo,./0.png
-68.4087645589678,-33.5636907425534,"557",SET-VI-219,De Pozo,./0.png
-68.3718503381074,-33.5827231510448,"558",SET-Vi-1091,De Pozo,./0.png
-68.790097716365,-33.1741069338695,"559",SET-B-N44,De Distribucion,./0.png
-68.7962573902395,-33.189480836427,"560",SET-B-449,De Distribucion,./0.png
-68.8108923938874,-33.0537784677512,"561",SET-ECP-102,De Distribucion,./0.png
-68.3967772343247,-33.6122617060151,"563",SET-VI-252,De Pozo,./0.png
-68.4155590506976,-33.5574492624533,"564",SET-VI-226,De Pozo,./0.png
-68.3782600986544,-33.5831649409591,"565",SET-VI-1030,De Pozo,./0.png
-68.4188095328455,-33.5689424834402,"568",SET-VI-13,De Pozo,./0.png
-68.4516980516886,-33.5416774649504,"569",SET-VI-133,De Pozo,./0.png
-68.752952892952,-33.1979437063581,"570",SET-B-528,De Distribucion,./0.png
-68.7644140520325,-33.1359681741949,"571",SET-B-04,De Distribucion,./0.png
-68.4027926631488,-33.5666327745429,"572",SET-VI-1009,De Pozo,./0.png
-68.4181005856817,-33.5597496830978,"574",SET-VI-105,De Pozo,./0.png
-68.7926588495357,-33.1327649172534,"576",SET-B-78,De Distribucion,./0.png
-68.6968062500806,-33.2799545530618,"577",EM-RT-,De Maniobras,./0.png
-68.3873899213084,-33.610408890287,"578",SET-VI-187,De Pozo,./0.png
-68.4686895481675,-33.5348471129361,"579",SET-VI-TRACING,De Pozo,./0.png
-68.7522313418014,-33.1848248933077,"581",SET-B-519,De Distribucion,./0.png
-68.4155052700155,-33.5545719221635,"584",SET-VI-99,De Pozo,./0.png
-68.4086675595271,-33.5473140491295,"586",SET-VI-,De Pozo,./0.png
-68.4524647204598,-33.5498403050232,"588",SET-Via-1080,De Pozo,./0.png
-68.7684745672548,-33.2139004687077,"589",SET-B-,De Distribucion,./0.png
-68.4154587832267,-33.5619749433821,"591",SET-VI-256,De Pozo,./0.png
-68.7932538891192,-33.0790417468744,"592",SET-ECP-N40,De Distribucion,./0.png
-68.4733106859082,-33.534922870899,"593",SET-VI-1076,De Pozo,./0.png
-68.9058729169921,-33.2854515183535,"594",SET-UG-16,De Pozo,./0.png
-68.4011658707899,-33.5761723037248,"598",SET-VI-1019,De Pozo,./0.png
-68.4028621202503,-33.554463315057,"600",SET-VI-101,De Pozo,./0.png
-68.7884340859695,-33.1457175336812,"602",SET-B-80,De Distribucion,./0.png
-68.7818424074329,-33.1814429730035,"605",SET-B-81,De Distribucion,./0.png
-68.3877794167444,-33.6009307656945,"606",SET-VI-32,De Pozo,./0.png
-68.7612320873016,-33.2028784023003,"608",SET-B-S/N,De Distribucion,./0.png
-68.7661528058617,-33.1436122070772,"609",SET-B-62,De Distribucion,./0.png
-68.5140714615764,-33.4885294426998,"610",SET-CD-,De Maniobras,./0.png
-68.430859728553,-33.5431963062176,"612",SET-VI-287,De Pozo,./0.png
-68.4148128744371,-33.5481297094585,"613",SET-VI-1006,De Bateria,./0.png
-68.7272156833554,-33.2219680085329,"615",SET-LC-63,De Distribucion,./0.png
-68.7992282666005,-33.0643398101513,"616",SET-ECP-N34,De Distribucion,./0.png
-68.7491317341458,-33.1907498234167,"619",SET-B-542,De Distribucion,./0.png
-68.3763827634455,-33.5811500814316,"620",SET-VI-24,De Pozo,./0.png
-68.7163828659273,-33.2499347597998,"622",SET-LC-18,De Distribución,./0.png
-68.3887514477343,-33.5730881070261,"624",SET-VI-1022,De Pozo,./0.png
-68.3982409321846,-33.5684035951762,"625",SET-VI-121,De Pozo,./0.png
-68.7658179058871,-33.1511230277365,"627",SET-B-06,De Distribucion,./0.png
-68.3905906062907,-33.5963631522878,"628",SET-VI-167,De Pozo,./0.png
-68.3929669494366,-33.5756428270165,"629",SET-VI-1002,De Distribucion,./0.png
-68.3828111379887,-33.6365504184569,"632",SET-VI-244,De Pozo,./0.png
-68.3954311360101,-33.5701102996854,"634",SET-VI-1025,De Pozo,./0.png
-68.4815667335043,-33.5374206141575,"635",SET-Vi-1133,De Pozo,./0.png
-68.4148051046653,-33.5515085246377,"637",SET-VI-280,De Pozo,./0.png
-68.7878612564869,-33.158831063825,"638",SET-B-58,De Distribucion,./0.png
-68.397037807142,-33.6055442919413,"639",SET-VI-180,De Pozo,./0.png
-68.7528606864636,-33.1968950886637,"640",SET-B-N23,De Distribucion,./0.png
-68.7699670173511,-33.1692692936362,"641",SET-B-82,De Distribucion,./0.png
-68.4061600262762,-33.5555092624585,"643",SET-VI-275,De Pozo,./0.png
-68.4040415307619,-33.5870531705716,"645",SET-VI-29,De Pozo,./0.png
-68.4041655343178,-33.5469723887111,"646",SET-VI-266,De Pozo,./0.png
-68.7103518845935,-33.2627129976091,"648",SET-LC-35,De Maniobras,./0.png
-68.4599816762273,-33.507242048634,"650",SET-VI-P-CONTROL,De Pozo,./0.png
-68.4195157684638,-33.5408553164001,"653",SET-VI-58,De Pozo,./0.png
-68.7529856775059,-33.1931330365865,"654",SET-B-S/N,De Distribucion,./0.png
-68.7825354889374,-33.1526185361012,"655",SET-B-85,De Distribucion,./0.png
-68.8017319580757,-33.1519698461884,"656",SET-B-,De Distribucion,./0.png
-68.810332579185,-33.0709781125988,"657",SET-ECP-49,De Distribucion,./0.png
-68.3903933788503,-33.6059676505665,"658",SET-VI-181,De Pozo,./0.png
-68.4181346890643,-33.5471788574201,"660",SET-VI-264,De Pozo,./0.png
-68.4212338169761,-33.543180934353,"661",SET-VI-286,De Pozo,./0.png
-68.7984933836535,-33.1865653308575,"663",SET-B-,De Distribucion,./0.png
-68.8197637590468,-33.0849433129349,"665",SET-ECP-91,De Distribucion,./0.png
-68.9644740683356,-33.2998475722094,"666",SET-UG-19,De Distribucion,./0.png
-68.4207802029931,-33.5738889311657,"668",SET-VI-124,De Pozo,./0.png
-68.779311984315,-33.1746624063769,"669",SET-B-553,De Pozo,./0.png
-68.5062270915698,-33.4841421327523,"671",SET-CD-BAT-8,De Maniobras,./0.png
-68.7739215946302,-33.1544769142861,"672",SET-B-10,De Distribucion,./0.png
-68.4213782474687,-33.5578951272175,"673",SET-VI-258,De Pozo,./0.png
-68.4047457291337,-33.5755506842083,"677",SET-VI-1015,De Pozo,./0.png
-68.482302613625,-33.5502113908459,"678",SET-Vi-1108,De Pozo,./0.png
-68.3957890883236,-33.5599362386573,"679",SET-VI-284,De Pozo,./0.png
-68.8038422934383,-33.0563591776373,"680",SET-ECP-103,De Distribucion,./0.png
-68.7198876741207,-33.2989370936634,"682",CENTRAL CARRIZAL,Principal,./0.png
-68.4237237491769,-33.5487747492168,"683",SET-VI-282,De Pozo,./0.png
-68.7796012846652,-33.1461440259259,"684",SET-B-83,De Distribucion,./0.png
-68.3963544156842,-33.6149722190298,"687",SET-VI-189,De Pozo,./0.png
-68.7864525269895,-33.1946949611678,"688",SET-B-S/N,De Distribucion,./0.png
-68.7194561179139,-33.2571772963356,"691",SET-LC-18,De Distribución,./0.png
-68.4010633604021,-33.5919523055995,"694",SET-VI-159,De Pozo,./0.png
-68.4046994933567,-33.5684374951081,"695",SET-VI-120,De Pozo,./0.png
-68.3791528707495,-33.5772723515659,"696",SET-VI-139,De Pozo,./0.png
-68.4107535840518,-33.5455406592979,"697",SET-VI-1004,De Distribucion,./0.png
-68.4070107935234,-33.5919629023329,"698",SET-VI-158,De Pozo,./0.png
-68.3993333138131,-33.5498739470244,"699",SET-VI-46,De Pozo,./0.png
-68.3995161013251,-33.5559627838146,"701",SET-VI-283,De Pozo,./0.png
-68.3943180982332,-33.6012937705012,"702",SET-VI-173,De Pozo,./0.png
-68.3827600491185,-33.6427710383758,"703",SET-VI-194,De Pozo,./0.png
-68.8163308193758,-33.0721797365653,"705",SET-ECP-N6,De Distribucion,./0.png
-68.7991018221962,-33.1427565727398,"707",SET-B-532,De Distribucion,./0.png
-68.3312780343925,-33.5965924639009,"708",SET-VI-217,De Pozo,./0.png
-68.3820379340282,-33.57864751161,"709",SET-VI-257,De Pozo,./0.png
-68.8106413424622,-33.1272304055467,"710",SET-B-515,De Distribucion,./0.png
-68.7631306706626,-33.2156891812863,"711",SET-B-N20,De Distribucion,./0.png
-68.7268123840295,-33.2253614475322,"712",SET-LC-61,De Distribución,./0.png
-68.7203623336801,-33.2600845756287,"715",SET-LC-65,De Distribucion,./0.png
-68.7736934311062,-33.1545468170365,"717",SET-B-49,De Distribucion,./0.png
-68.439195097403,-33.5319057683801,"720",SET-VI-72,De Pozo,./0.png
-68.7664158156196,-33.1593579291607,"723",SET-BV-72,De Distribucion,./0.png
-68.410086391842,-33.5702802426683,"725",SET-VI-1018,De Pozo,./0.png
-68.421734916253,-33.5523822554153,"726",SET-VI-290,De Pozo,./0.png
-68.3979789541091,-33.5869440353363,"727",SET-VI-150,De Pozo,./0.png
-68.7974100123521,-33.1529321643902,"731",SET-B-,De Distribucion,./0.png
-68.4146666230971,-33.5640224966008,"732",SET-VI-113,De Pozo,./0.png
-68.3949017238804,-33.5791955445455,"735",SET-VI-255,De Pozo,./0.png
-68.4352065692247,-33.5463773569745,"736",SET-VI-48,De Pozo,./0.png
-68.4317266372937,-33.5545429697033,"738",SET-VI-260,De Pozo,./0.png
-68.4876327929234,-33.5446383874287,"739",SET-ViO.a-6,De Pozo,./0.png
-68.4216516248848,-33.5547110144088,"740",SET-VI-98,De Pozo,./0.png
-68.7969161608926,-33.1954681536948,"742",SET-B-512,De Distribucion,./0.png
-68.4930149945399,-33.542483656561,"744",SET-ViO-9,De Pozo,./0.png
-68.412462168658,-33.5501688128448,"745",SET-VI-45,De Pozo,./0.png
-68.4131613835617,-33.5915439653653,"748",SET-VI-157,De Pozo,./0.png
-68.4049774617054,-33.5721834743236,"749",SET-VI-235,De Pozo,./0.png
-68.4227011624749,-33.557571904611,"751",SET-VI-1001,De Distribucion,./0.png
